,field_id,name,title,abb,Order,Suborder,Group,Subgroup,drug_exposure,cov1,n1,beta1,se1,p1,cov2,n2,beta2,se2,p2,cov3,n3,beta3,se3,p3,p1_FDR,p2_FDR,p3_FDR
322,X23415.0.0,Total Esterified Cholesterol,Total-CE,totalce,16,,Cholesteryl esters,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.101842419,0.012536006,4.62e-16,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.088891656,0.012548936,1.43e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.083112234,0.013350347,4.85e-10,1.1e-15,4.22e-12,1.43e-09
323,X23416.0.0,Cholesteryl Esters in VLDL,VLDL-CE,vldlce,16,,Cholesteryl esters,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.007333033,0.002809306,0.009050163,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.016665363,0.002801859,2.73e-09,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.017099656,0.00295813,7.5e-09,0.011497401,6.86e-09,2.1e-08
324,X23417.0.0,Cholesteryl Esters in LDL,LDL-CE,pureldlce,16,,Cholesteryl esters,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.036757184,0.006217905,3.41e-09,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.045715261,0.006268172,3.08e-13,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.045373202,0.006637716,8.28e-12,6.21e-09,9.34e-13,2.63e-11
325,X23418.0.0,Cholesteryl Esters in HDL,HDL-CE,hdlce,16,,Cholesteryl esters,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.032100637,0.004573695,2.27e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.003360713,0.004226058,0.426480573,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.001037719,0.004442794,0.815317228,4.78e-12,0.468226026,0.847303797
326,X23419.0.0,Total Free Cholesterol,Total-FC,totalfc,17,,Free cholesterol,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.036892991,0.005060301,3.13e-13,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.037997168,0.005100428,9.51e-14,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.036415986,0.005419685,1.85e-11,6.81e-13,2.95e-13,5.78e-11
327,X23420.0.0,Free Cholesterol in VLDL,VLDL-FC,vldlfc,17,,Free cholesterol,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.002495673,0.002131308,0.241621543,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.007711433,0.002094928,0.000232591,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.008524091,0.002192826,0.000101543,0.268588233,0.000381523,0.000207588
328,X23421.0.0,Free Cholesterol in LDL,LDL-FC,pureldlfc,17,,Free cholesterol,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.020403909,0.002291821,5.63e-19,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.019532354,0.002314107,3.25e-17,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.018826264,0.002459491,1.98e-14,1.55e-18,1.18e-16,6.99e-14
329,X23422.0.0,Free Cholesterol in HDL,HDL-FC,hdlfc,17,,Free cholesterol,,Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.009200119,0.001296073,1.28e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.001916435,0.001216395,0.115147405,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.000674714,0.001287896,0.600358796,2.71e-12,0.14123992,0.649953653
330,X23481.0.0,Concentration of Chylomicrons and Extremely Large VLDL Particles,XXL-VLDL-P,xxlvldlp,18,1.0,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,2.71e-07,3.03e-08,3.64e-19,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,8.78e-08,2.93e-08,0.002707075,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,7.1e-08,3.04e-08,0.019449868,1.01e-18,0.004031469,0.029351619
331,X23488.0.0,Concentration of Very Large VLDL Particles,XL-VLDL-P,xlvldlp,18,1.0,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,3.06e-07,4.49e-08,8.78e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,2.61e-08,4.32e-08,0.545642619,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-1.24e-09,4.48e-08,0.977983788,1.81e-11,0.589180452,0.978769949
332,X23495.0.0,Concentration of Large VLDL Particles,L-VLDL-P,lvldlp,18,1.0,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,5.8e-07,1.09e-07,1.03e-07,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-6.41e-08,1.05e-07,0.543358094,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-1.29e-07,1.09e-07,0.236319003,1.72e-07,0.58722294,0.285094146
333,X23502.0.0,Concentration of Medium VLDL Particles,M-VLDL-P,mvldlp,18,1.0,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-4.95e-07,2.42e-07,0.040902313,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-1.39e-06,2.41e-07,8.5e-09,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-1.45e-06,2.53e-07,9.83e-09,0.049059132,2.04e-08,2.73e-08
334,X23509.0.0,Concentration of Small VLDL Particles,S-VLDL-P,svldlp,18,1.0,Lipoprotein subclasses,Small VLDL (average diameter 36.8 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,3.44e-07,2.55e-07,0.176375137,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-8.43e-07,2.5e-07,0.000758544,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-9.5e-07,2.62e-07,0.000285739,0.19890131,0.001192407,0.00055069
335,X23516.0.0,Concentration of Very Small VLDL Particles,XS-VLDL-P,xsvldlp,18,1.0,Lipoprotein subclasses,Very small VLDL (average diameter 31.3 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-7.77e-07,2.65e-07,0.003362908,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-1.43e-06,2.66e-07,6.78e-08,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-1.43e-06,2.82e-07,3.91e-07,0.004449331,1.5e-07,1.01e-06
336,X23523.0.0,Concentration of IDL Particles,IDL-P,idlp,18,1.0,Lipoprotein subclasses,IDL (average diameter 28.6 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-9.39e-06,1.45e-06,9.87e-11,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-1.14e-05,1.46e-06,7.18e-15,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-1.1e-05,1.56e-06,1.63e-12,1.93e-10,2.35e-14,5.34e-12
337,X23530.0.0,Concentration of Large LDL Particles,L-LDL-P,lldlp,18,1.0,Lipoprotein subclasses,Large LDL (average diameter 25.5 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-2.79e-05,3.41e-06,2.77e-16,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-3.24e-05,3.44e-06,4.45e-21,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-3.19e-05,3.64e-06,1.99e-18,6.75e-16,1.71e-20,7.75e-18
338,X23537.0.0,Concentration of Medium LDL Particles,M-LDL-P,mldlp,18,1.0,Lipoprotein subclasses,Medium LDL (average diameter 23 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-3.9e-06,1.48e-06,0.008393827,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-8.07e-06,1.48e-06,5.41e-08,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-8.4e-06,1.57e-06,8.2e-08,0.010685394,1.21e-07,2.16e-07
339,X23544.0.0,Concentration of Small LDL Particles,S-LDL-P,sldlp,18,1.0,Lipoprotein subclasses,Small LDL (average diameter 18.7 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-2.98e-06,7.31e-07,4.49e-05,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-5e-06,7.32e-07,8.56e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-5.1e-06,7.72e-07,3.97e-11,6.62e-05,2.45e-11,1.22e-10
340,X23551.0.0,Concentration of Very Large HDL Particles,XL-HDL-P,xlhdlp,18,1.0,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-2.13e-05,1.7e-06,8.36e-36,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-8.96e-06,1.62e-06,2.96e-08,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-7.16e-06,1.7e-06,2.62e-05,3.3e-35,6.8e-08,5.68e-05
341,X23558.0.0,Concentration of Large HDL Particles,L-HDL-P,lhdlp,18,1.0,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.000136648,1.36e-05,1.1e-23,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-3.35e-05,1.26e-05,0.007749475,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-1.88e-05,1.32e-05,0.15427687,3.49e-23,0.01100125,0.19480193
342,X23565.0.0,Concentration of Medium HDL Particles,M-HDL-P,mhdlp,18,1.0,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-1.68e-05,1.7e-05,0.323937251,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,4.37e-05,1.61e-05,0.006552375,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,5.53e-05,1.71e-05,0.001218216,0.351921359,0.009387465,0.002188571
343,X23572.0.0,Concentration of Small HDL Particles,S-HDL-P,shdlp,18,1.0,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.000103245,2.58e-05,6.15e-05,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,4.49e-05,2.53e-05,0.076044499,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,4.32e-05,2.68e-05,0.107209959,9.01e-05,0.095728414,0.14139449
344,X23482.0.0,Total Lipids in Chylomicrons and Extremely Large VLDL,XXL-VLDL-L,xxlvldll,18,2.0,Lipoprotein subclasses,Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.036309898,0.004086826,6.64e-19,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.011798433,0.00395377,0.002845691,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.009744744,0.004104544,0.017594738,1.82e-18,0.004222748,0.026910871
345,X23489.0.0,Total Lipids in Very Large VLDL,XL-VLDL-L,xlvldll,18,2.0,Lipoprotein subclasses,Very large VLDL (average diameter 64 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.018256155,0.002651154,5.81e-12,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.001754049,0.002555225,0.492429376,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.000139418,0.002647575,0.958004126,1.21e-11,0.535436309,0.962643371
346,X23496.0.0,Total Lipids in Large VLDL,L-VLDL-L,lvldll,18,2.0,Lipoprotein subclasses,Large VLDL (average diameter 53.6 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.016554235,0.003464732,1.78e-06,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.003596211,0.003359583,0.284429843,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.005707516,0.003487601,0.101739348,2.8e-06,0.325174614,0.134894024
347,X23503.0.0,Total Lipids in Medium VLDL,M-VLDL-L,mvldll,18,2.0,Lipoprotein subclasses,Medium VLDL (average diameter 44.5 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.003189065,0.004064215,0.43265144,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.020187556,0.004024097,5.28e-07,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.021626072,0.004217191,2.94e-07,0.45999235,1.08e-06,7.6e-07
348,X23510.0.0,Total Lipids in Small VLDL,S-VLDL-L,svldll,18,2.0,Lipoprotein subclasses,Small VLDL (average diameter 36.8 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.003210964,0.00258181,0.213621212,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.008782552,0.002542914,0.000553389,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.009830978,0.002661234,0.000220921,0.238741839,0.000882163,0.000431784
349,X23517.0.0,Total Lipids in Very Small VLDL,XS-VLDL-L,xsvldll,18,2.0,Lipoprotein subclasses,Very small VLDL (average diameter 31.3 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.004907676,0.001702348,0.003942345,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.008949677,0.001709303,1.65e-07,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.008927294,0.001814483,8.69e-07,0.005161114,3.54e-07,2.18e-06
350,X23524.0.0,Total Lipids in IDL,IDL-L,idll,18,2.0,Lipoprotein subclasses,IDL (average diameter 28.6 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.04449653,0.005330846,7.2e-17,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.042715313,0.005374466,1.94e-15,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.040417074,0.005722089,1.65e-12,1.81e-16,6.53e-15,5.41e-12
351,X23531.0.0,Total Lipids in Large LDL,L-LDL-L,lldll,18,2.0,Lipoprotein subclasses,Large LDL (average diameter 25.5 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.052480658,0.007209523,3.41e-13,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.056351284,0.007275504,9.73e-15,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.054812643,0.007723623,1.3e-12,7.38e-13,3.17e-14,4.29e-12
352,X23538.0.0,Total Lipids in Medium LDL,M-LDL-L,mldll,18,2.0,Lipoprotein subclasses,Medium LDL (average diameter 23 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.011263636,0.003222638,0.000474227,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.020173992,0.003230545,4.28e-10,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.020517358,0.003408236,1.76e-09,0.000654559,1.13e-09,5.08e-09
353,X23545.0.0,Total Lipids in Small LDL,S-LDL-L,sldll,18,2.0,Lipoprotein subclasses,Small LDL (average diameter 18.7 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.006981746,0.001268002,3.69e-08,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.010114798,0.001272778,1.95e-15,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.010144396,0.001344386,4.59e-14,6.35e-08,6.56e-15,1.61e-13
354,X23552.0.0,Total Lipids in Very Large HDL,XL-HDL-L,xlhdll,18,2.0,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.017547159,0.001432449,1.91e-34,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.006858115,0.001353002,4.02e-07,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.005329001,0.001417796,0.000171072,7.36e-34,8.34e-07,0.000340232
355,X23559.0.0,Total Lipids in Large HDL,L-HDL-L,lhdll,18,2.0,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,-0.053174601,0.005742969,2.15e-20,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,-0.010874158,0.00532269,0.04106007,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,-0.004759853,0.005569382,0.392751902,6.19e-20,0.053867005,0.447370648
356,X23566.0.0,Total Lipids in Medium HDL,M-HDL-L,mhdll,18,2.0,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Thiazide_bf,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2,45569,0.001822367,0.004150685,0.660625838,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g,45087,0.013664401,0.003947267,0.000537198,f.31.0.0 + f.21022.0.0 + as.factor(f.54.0.0) + PC1 + PC2 + f.21001.0.0 + current_smk + log_alcohol_weekly_g + f.189.0.0 + waist_hip_ratio + as.factor(father_history) + as.factor(mother_history),40423,0.016157869,0.004199645,0.000119544,0.68198936,0.000858551,0.000242397
